0.07380; 2.46296
0.33210; 2.66667
0.62731; 2.88889
0.94096; 3.09259
1.27306; 3.31481
1.66052; 3.53704
1.95572; 3.74074
2.25092; 3.88889
2.56458; 4.03704
2.91513; 4.20370
3.24723; 4.35185
3.52399; 4.46296
3.85609; 4.57407
4.22509; 4.70370
4.57565; 4.77778
5.00000; 4.87037
5.49815; 4.94444
5.88561; 4.98148
6.36531; 5.00000
6.82657; 5.00000
7.21402; 4.98148
7.63838; 4.92593
8.13653; 4.85185
8.59779; 4.74074
8.96679; 4.62963
9.35424; 4.50000
9.83395; 4.33333
10.42435; 4.05556
11.14391; 3.68519
11.71587; 3.33333
12.21402; 3.00000
12.65683; 2.68519
13.21033; 2.25926
13.72694; 1.81481
14.09594; 1.46296
14.29889; 1.25926
14.42804; 1.09259
14.64945; 0.92593
14.87085; 0.68519
15.07380; 0.40741
15.44280; 0.00000
