0.00000; 0.02439
0.46856; 0.43902
0.82614; 0.76829
1.22072; 1.10976
1.65228; 1.51220
2.19482; 1.92683
2.68804; 2.26829
3.00863; 2.48780
3.45253; 2.82927
4.11837; 3.15854
4.88286; 3.53659
5.57337; 3.82927
6.04192; 3.97561
6.53514; 4.14634
7.10234; 4.31707
7.71887; 4.43902
8.33539; 4.53659
8.93958; 4.58537
9.54377; 4.58537
10.13564; 4.53659
10.65351; 4.46341
11.22072; 4.36585
12.08385; 4.14634
12.77435; 3.87805
13.51418; 3.53659
14.10604; 3.19512
14.69790; 2.87805
15.26510; 2.43902
15.90629; 1.95122
16.42417; 1.46341
16.89273; 1.02439
17.28730; 0.58537
17.73120; 0.04878
